"Sig_ID" "Activity_Num" "Subject_Num" "Act_ID"
1 "WALKING" 1 1
1 "WALKING" 3 2
1 "WALKING" 5 3
1 "WALKING" 6 4
1 "WALKING" 7 5
1 "WALKING" 8 6
1 "WALKING_UPSTAIRS" 8 7
1 "WALKING_UPSTAIRS" 11 8
1 "WALKING_UPSTAIRS" 14 9
1 "WALKING_UPSTAIRS" 15 10
1 "WALKING_UPSTAIRS" 16 11
1 "WALKING_UPSTAIRS" 17 12
1 "WALKING_DOWNSTAIRS" 17 13
1 "WALKING_DOWNSTAIRS" 19 14
1 "WALKING_DOWNSTAIRS" 21 15
1 "WALKING_DOWNSTAIRS" 22 16
1 "SITTING" 22 17
1 "SITTING" 23 18
1 "SITTING" 25 19
1 "SITTING" 26 20
1 "SITTING" 27 21
1 "SITTING" 28 22
1 "STANDING" 28 23
1 "STANDING" 29 24
1 "STANDING" 30 25
1 "STANDING" 2 26
1 "STANDING" 4 27
1 "STANDING" 9 28
1 "STANDING" 10 29
1 "LAYING" 10 30
1 "LAYING" 12 31
1 "LAYING" 13 32
1 "LAYING" 18 33
1 "LAYING" 20 34
1 "LAYING" 24 35
2 "WALKING" 1 36
2 "WALKING" 3 37
2 "WALKING" 5 38
2 "WALKING" 6 39
2 "WALKING" 7 40
2 "WALKING" 8 41
2 "WALKING_UPSTAIRS" 8 42
2 "WALKING_UPSTAIRS" 11 43
2 "WALKING_UPSTAIRS" 14 44
2 "WALKING_UPSTAIRS" 15 45
2 "WALKING_UPSTAIRS" 16 46
2 "WALKING_UPSTAIRS" 17 47
2 "WALKING_DOWNSTAIRS" 17 48
2 "WALKING_DOWNSTAIRS" 19 49
2 "WALKING_DOWNSTAIRS" 21 50
2 "WALKING_DOWNSTAIRS" 22 51
2 "SITTING" 22 52
2 "SITTING" 23 53
2 "SITTING" 25 54
2 "SITTING" 26 55
2 "SITTING" 27 56
2 "SITTING" 28 57
2 "STANDING" 28 58
2 "STANDING" 29 59
2 "STANDING" 30 60
2 "STANDING" 2 61
2 "STANDING" 4 62
2 "STANDING" 9 63
2 "STANDING" 10 64
2 "LAYING" 10 65
2 "LAYING" 12 66
2 "LAYING" 13 67
2 "LAYING" 18 68
2 "LAYING" 20 69
2 "LAYING" 24 70
3 "WALKING" 1 71
3 "WALKING" 3 72
3 "WALKING" 5 73
3 "WALKING" 6 74
3 "WALKING" 7 75
3 "WALKING" 8 76
3 "WALKING_UPSTAIRS" 8 77
3 "WALKING_UPSTAIRS" 11 78
3 "WALKING_UPSTAIRS" 14 79
3 "WALKING_UPSTAIRS" 15 80
3 "WALKING_UPSTAIRS" 16 81
3 "WALKING_UPSTAIRS" 17 82
3 "WALKING_DOWNSTAIRS" 17 83
3 "WALKING_DOWNSTAIRS" 19 84
3 "WALKING_DOWNSTAIRS" 21 85
3 "WALKING_DOWNSTAIRS" 22 86
3 "SITTING" 22 87
3 "SITTING" 23 88
3 "SITTING" 25 89
3 "SITTING" 26 90
3 "SITTING" 27 91
3 "SITTING" 28 92
3 "STANDING" 28 93
3 "STANDING" 29 94
3 "STANDING" 30 95
3 "STANDING" 2 96
3 "STANDING" 4 97
3 "STANDING" 9 98
3 "STANDING" 10 99
3 "LAYING" 10 100
3 "LAYING" 12 101
3 "LAYING" 13 102
3 "LAYING" 18 103
3 "LAYING" 20 104
3 "LAYING" 24 105
4 "WALKING" 1 106
4 "WALKING" 3 107
4 "WALKING" 5 108
4 "WALKING" 6 109
4 "WALKING" 7 110
4 "WALKING" 8 111
4 "WALKING_UPSTAIRS" 8 112
4 "WALKING_UPSTAIRS" 11 113
4 "WALKING_UPSTAIRS" 14 114
4 "WALKING_UPSTAIRS" 15 115
4 "WALKING_UPSTAIRS" 16 116
4 "WALKING_UPSTAIRS" 17 117
4 "WALKING_DOWNSTAIRS" 17 118
4 "WALKING_DOWNSTAIRS" 19 119
4 "WALKING_DOWNSTAIRS" 21 120
4 "WALKING_DOWNSTAIRS" 22 121
4 "SITTING" 22 122
4 "SITTING" 23 123
4 "SITTING" 25 124
4 "SITTING" 26 125
4 "SITTING" 27 126
4 "SITTING" 28 127
4 "STANDING" 28 128
4 "STANDING" 29 129
4 "STANDING" 30 130
4 "STANDING" 2 131
4 "STANDING" 4 132
4 "STANDING" 9 133
4 "STANDING" 10 134
4 "LAYING" 10 135
4 "LAYING" 12 136
4 "LAYING" 13 137
4 "LAYING" 18 138
4 "LAYING" 20 139
4 "LAYING" 24 140
5 "WALKING" 1 141
5 "WALKING" 3 142
5 "WALKING" 5 143
5 "WALKING" 6 144
5 "WALKING" 7 145
5 "WALKING" 8 146
5 "WALKING_UPSTAIRS" 8 147
5 "WALKING_UPSTAIRS" 11 148
5 "WALKING_UPSTAIRS" 14 149
5 "WALKING_UPSTAIRS" 15 150
5 "WALKING_UPSTAIRS" 16 151
5 "WALKING_UPSTAIRS" 17 152
5 "WALKING_DOWNSTAIRS" 17 153
5 "WALKING_DOWNSTAIRS" 19 154
5 "WALKING_DOWNSTAIRS" 21 155
5 "WALKING_DOWNSTAIRS" 22 156
5 "SITTING" 22 157
5 "SITTING" 23 158
5 "SITTING" 25 159
5 "SITTING" 26 160
5 "SITTING" 27 161
5 "SITTING" 28 162
5 "STANDING" 28 163
5 "STANDING" 29 164
5 "STANDING" 30 165
5 "STANDING" 2 166
5 "STANDING" 4 167
5 "STANDING" 9 168
5 "STANDING" 10 169
5 "LAYING" 10 170
5 "LAYING" 12 171
5 "LAYING" 13 172
5 "LAYING" 18 173
5 "LAYING" 20 174
5 "LAYING" 24 175
6 "WALKING" 1 176
6 "WALKING" 3 177
6 "WALKING" 5 178
6 "WALKING" 6 179
6 "WALKING" 7 180
6 "WALKING" 8 181
6 "WALKING_UPSTAIRS" 8 182
6 "WALKING_UPSTAIRS" 11 183
6 "WALKING_UPSTAIRS" 14 184
6 "WALKING_UPSTAIRS" 15 185
6 "WALKING_UPSTAIRS" 16 186
6 "WALKING_UPSTAIRS" 17 187
6 "WALKING_DOWNSTAIRS" 17 188
6 "WALKING_DOWNSTAIRS" 19 189
6 "WALKING_DOWNSTAIRS" 21 190
6 "WALKING_DOWNSTAIRS" 22 191
6 "SITTING" 22 192
6 "SITTING" 23 193
6 "SITTING" 25 194
6 "SITTING" 26 195
6 "SITTING" 27 196
6 "SITTING" 28 197
6 "STANDING" 28 198
6 "STANDING" 29 199
6 "STANDING" 30 200
6 "STANDING" 2 201
6 "STANDING" 4 202
6 "STANDING" 9 203
6 "STANDING" 10 204
6 "LAYING" 10 205
6 "LAYING" 12 206
6 "LAYING" 13 207
6 "LAYING" 18 208
6 "LAYING" 20 209
6 "LAYING" 24 210
7 "WALKING" 1 211
7 "WALKING" 3 212
7 "WALKING" 5 213
7 "WALKING" 6 214
7 "WALKING" 7 215
7 "WALKING" 8 216
7 "WALKING_UPSTAIRS" 8 217
7 "WALKING_UPSTAIRS" 11 218
7 "WALKING_UPSTAIRS" 14 219
7 "WALKING_UPSTAIRS" 15 220
7 "WALKING_UPSTAIRS" 16 221
7 "WALKING_UPSTAIRS" 17 222
7 "WALKING_DOWNSTAIRS" 17 223
7 "WALKING_DOWNSTAIRS" 19 224
7 "WALKING_DOWNSTAIRS" 21 225
7 "WALKING_DOWNSTAIRS" 22 226
7 "SITTING" 22 227
7 "SITTING" 23 228
7 "SITTING" 25 229
7 "SITTING" 26 230
7 "SITTING" 27 231
7 "SITTING" 28 232
7 "STANDING" 28 233
7 "STANDING" 29 234
7 "STANDING" 30 235
7 "STANDING" 2 236
7 "STANDING" 4 237
7 "STANDING" 9 238
7 "STANDING" 10 239
7 "LAYING" 10 240
7 "LAYING" 12 241
7 "LAYING" 13 242
7 "LAYING" 18 243
7 "LAYING" 20 244
7 "LAYING" 24 245
8 "WALKING" 1 246
8 "WALKING" 3 247
8 "WALKING" 5 248
8 "WALKING" 6 249
8 "WALKING" 7 250
8 "WALKING" 8 251
8 "WALKING_UPSTAIRS" 8 252
8 "WALKING_UPSTAIRS" 11 253
8 "WALKING_UPSTAIRS" 14 254
8 "WALKING_UPSTAIRS" 15 255
8 "WALKING_UPSTAIRS" 16 256
8 "WALKING_UPSTAIRS" 17 257
8 "WALKING_DOWNSTAIRS" 17 258
8 "WALKING_DOWNSTAIRS" 19 259
8 "WALKING_DOWNSTAIRS" 21 260
8 "WALKING_DOWNSTAIRS" 22 261
8 "SITTING" 22 262
8 "SITTING" 23 263
8 "SITTING" 25 264
8 "SITTING" 26 265
8 "SITTING" 27 266
8 "SITTING" 28 267
8 "STANDING" 28 268
8 "STANDING" 29 269
8 "STANDING" 30 270
8 "STANDING" 2 271
8 "STANDING" 4 272
8 "STANDING" 9 273
8 "STANDING" 10 274
8 "LAYING" 10 275
8 "LAYING" 12 276
8 "LAYING" 13 277
8 "LAYING" 18 278
8 "LAYING" 20 279
8 "LAYING" 24 280
9 "WALKING" 1 281
9 "WALKING" 3 282
9 "WALKING" 5 283
9 "WALKING" 6 284
9 "WALKING" 7 285
9 "WALKING" 8 286
9 "WALKING_UPSTAIRS" 8 287
9 "WALKING_UPSTAIRS" 11 288
9 "WALKING_UPSTAIRS" 14 289
9 "WALKING_UPSTAIRS" 15 290
9 "WALKING_UPSTAIRS" 16 291
9 "WALKING_UPSTAIRS" 17 292
9 "WALKING_DOWNSTAIRS" 17 293
9 "WALKING_DOWNSTAIRS" 19 294
9 "WALKING_DOWNSTAIRS" 21 295
9 "WALKING_DOWNSTAIRS" 22 296
9 "SITTING" 22 297
9 "SITTING" 23 298
9 "SITTING" 25 299
9 "SITTING" 26 300
9 "SITTING" 27 301
9 "SITTING" 28 302
9 "STANDING" 28 303
9 "STANDING" 29 304
9 "STANDING" 30 305
9 "STANDING" 2 306
9 "STANDING" 4 307
9 "STANDING" 9 308
9 "STANDING" 10 309
9 "LAYING" 10 310
9 "LAYING" 12 311
9 "LAYING" 13 312
9 "LAYING" 18 313
9 "LAYING" 20 314
9 "LAYING" 24 315
