"Statistic" "Stat_Cord" "Sig_ID" "Act_ID"
"mean" 0.28858451 1 1
"mean" 0.27841883 1 1
"mean" 0.27965306 1 1
"mean" 0.27917394 1 1
"mean" 0.27662877 1 1
"mean" 0.27719877 1 1
"mean" 0.27945388 1 1
"mean" 0.27743247 1 1
"mean" 0.27729342 1 1
"mean" 0.28058569 1 1
"mean" 0.27688027 1 1
"mean" 0.27622817 1 1
"mean" 0.278457 1 1
"mean" 0.27717497 1 1
"mean" 0.29794572 1 1
"mean" 0.27920345 1 1
"mean" 0.27903836 1 1
"mean" 0.2801349 1 1
"mean" 0.27773106 1 1
"mean" 0.27556818 1 1
"mean" 0.27756171 1 1
"mean" 0.27715238 1 1
"mean" 0.2756763 1 1
"mean" 0.2792002 1 1
"mean" 0.28171549 1 1
"mean" 0.27899267 1 1
"mean" 0.27573444 1 1
"mean" 0.14450396 1 1
"mean" 0.28725164 1 1
"mean" 0.2799976 1 1
"mean" 0.22184689 1 1
"mean" -0.041701306 1 1
"mean" 0.013903671 1 1
"mean" 0.30368927 1 1
"mean" 0.29075969 1 1
"mean" 0.27090823 1 1
"mean" 0.2795534 1 1
"mean" 0.27635864 1 1
"mean" 0.23715407 1 1
"mean" 0.2731084 1 1
"mean" 0.28150539 1 1
"mean" 0.27843225 1 1
"mean" 0.2733796 1 1
"mean" 0.27905615 1 1
"mean" 0.2785991 1 1
"mean" 0.27328142 1 1
"mean" 0.27853812 1 1
"mean" 0.27746121 1 1
"mean" 0.27394057 1 1
"mean" 0.27930326 1 1
"mean" 0.2790872 1 1
"mean" 0.40347433 1 1
"mean" 0.27837321 1 1
"mean" 0.27655526 1 1
"mean" 0.27957476 1 1
"mean" 0.27652699 1 1
"mean" 0.27812334 1 1
"mean" 0.27800654 1 1
"mean" 0.2802064 1 1
"mean" 0.28182774 1 1
"mean" 0.27672941 1 1
"mean" 0.27588359 1 1
"mean" 0.27783021 1 1
"mean" 0.27937115 1 1
"mean" 0.019016151 1 1
"mean" 0.3402085 1 1
"mean" -0.16642569 1 1
"mean" -0.23910256 1 1
"mean" 0.34696848 1 1
"mean" 0.30383319 1 1
"mean" -0.36120533 1 1
"mean" -0.27706634 1 1
"mean" 0.2574765 1 1
"mean" 0.27683965 1 1
"mean" 0.26865095 1 1
"mean" 0.28526329 1 1
"mean" 0.28347732 1 1
"mean" 0.27302712 1 1
"mean" 0.28202157 1 1
"mean" 0.25584075 1 1
"mean" 0.25486723 1 1
"mean" 0.34337048 1 1
"mean" 0.27623973 1 1
"mean" 0.25546822 1 1
"mean" 0.32113983 1 1
"mean" 0.2346659 1 1
"mean" 0.31263404 1 1
"mean" 0.2769154 1 1
"mean" 0.20530739 1 1
"mean" 0.30699599 1 1
"mean" 0.28151325 1 1
"mean" 0.30388542 1 1
"mean" 0.3541929 1 1
"mean" 0.22229785 1 1
"mean" 0.21448125 1 1
"mean" 0.32731657 1 1
"mean" 0.3490591 1 1
"mean" 0.26468173 1 1
"mean" 0.28431748 1 1
"mean" 0.22172674 1 1
"mean" 0.29097148 1 1
"mean" 0.26108077 1 1
"mean" 0.25242505 1 1
"mean" 0.35878664 1 1
"mean" 0.256935 1 1
"mean" 0.29855414 1 1
"mean" 0.30804575 1 1
"mean" 0.20356167 1 1
"mean" 0.28056095 1 1
"mean" 0.33216933 1 1
"mean" 0.28703017 1 1
"mean" 0.30159413 1 1
"mean" 0.24608919 1 1
"mean" 0.29272439 1 1
"mean" 0.33156003 1 1
"mean" 0.20201055 1 1
"mean" 0.30363491 1 1
"mean" 0.35919361 1 1
"mean" 0.22442754 1 1
"mean" 0.23995826 1 1
"mean" 0.28972747 1 1
"mean" 0.30830537 1 1
"mean" 0.32746543 1 1
"mean" 0.23841102 1 1
"mean" 0.1801943 1 1
"mean" 0.35845532 1 1
"mean" 0.30171512 1 1
"mean" 0.28155172 1 1
"mean" 0.27395574 1 1
"mean" 0.29995717 1 1
"mean" 0.26537379 1 1
"mean" 0.27763311 1 1
"mean" 0.26688016 1 1
"mean" 0.21070047 1 1
"mean" 0.28521305 1 1
"mean" 0.4699458 1 1
"mean" 0.23528441 1 1
"mean" 0.1669136 1 1
"mean" 0.44562097 1 1
"mean" 0.23179921 1 1
"mean" 0.28134949 1 1
"mean" 0.36248249 1 1
"mean" 0.43503687 1 1
"mean" 0.35119884 1 1
"mean" 0.13046118 1 1
"mean" 0.31277629 1 1
"mean" 0.42595606 1 1
"mean" 0.26749864 1 1
"mean" 0.15439416 1 1
"mean" 0.20535149 1 1
"mean" 0.18360372 1 1
"mean" 0.27918273 1 1
"mean" 0.30116241 1 1
"mean" 0.29341097 1 1
"mean" 0.2303099 1 1
"mean" 0.15851651 1 1
"mean" 0.21524532 1 1
"mean" 0.27147742 1 1
"mean" 0.14085877 1 1
"mean" 0.23145946 1 1
"mean" 0.29569289 1 1
"mean" 0.34408292 1 1
"mean" 0.33299252 1 1
"mean" 0.31672153 1 1
"mean" 0.27425493 1 1
"mean" 0.26034404 1 1
"mean" 0.27771111 1 1
"mean" 0.22622757 1 1
"mean" 0.25960382 1 1
"mean" 0.34402821 1 1
"mean" 0.37052032 1 1
"mean" 0.2732136 1 1
"mean" 0.23124563 1 1
"mean" 0.25025528 1 1
"mean" 0.23033751 1 1
"mean" 0.22969556 1 1
"mean" 0.26076161 1 1
"mean" 0.28981703 1 1
"mean" 0.28451133 1 1
"mean" 0.2852744 1 1
"mean" 0.27239664 1 1
"mean" 0.26580577 1 1
"mean" 0.278426 1 1
"mean" 0.27942505 1 1
"mean" 0.27526076 1 1
"mean" 0.27687455 1 1
"mean" 0.2792417 1 1
"mean" 0.27884783 1 1
"mean" 0.27368218 1 1
"mean" 0.27394901 1 1
"mean" 0.32236308 1 1
"mean" 0.2745262 1 1
"mean" 0.27380646 1 1
"mean" 0.27664268 1 1
"mean" 0.27436388 1 1
"mean" 0.27475366 1 1
"mean" 0.27872042 1 1
"mean" 0.27938002 1 1
"mean" 0.27734354 1 1
"mean" 0.27796276 1 1
"mean" 0.27997806 1 1
"mean" 0.27970111 1 1
"mean" 0.26297624 1 1
"mean" 0.29811757 1 1
"mean" 0.27727452 1 1
"mean" 0.27866687 1 1
"mean" 0.27873199 1 1
"mean" 0.27559191 1 1
