"Statistic" "Stat_Cord" "Sig_ID" "Act_ID"
"mean" -0.020294171 1 1
"mean" -0.016410568 1 1
"mean" -0.019467156 1 1
"mean" -0.026200646 1 1
"mean" -0.016569655 1 1
"mean" -0.01009785 1 1
"mean" -0.019640776 1 1
"mean" -0.030488303 1 1
"mean" -0.021750698 1 1
"mean" -0.0099602983 1 1
"mean" -0.012721805 1 1
"mean" -0.021441302 1 1
"mean" -0.020414761 1 1
"mean" -0.014712802 1 1
"mean" 0.027093908 1 1
"mean" -0.023020143 1 1
"mean" -0.014800378 1 1
"mean" -0.013916951 1 1
"mean" -0.018210718 1 1
"mean" -0.016979698 1 1
"mean" -0.014318487 1 1
"mean" -0.017983328 1 1
"mean" -0.021264234 1 1
"mean" -0.017714427 1 1
"mean" -0.011910678 1 1
"mean" -0.014531029 1 1
"mean" -0.01801884 1 1
"mean" 0.18926326 1 1
"mean" -0.037455064 1 1
"mean" -0.019484036 1 1
"mean" 0.034107675 1 1
"mean" 0.17510248 1 1
"mean" 0.15329608 1 1
"mean" -0.0042428053 1 1
"mean" -0.02403476 1 1
"mean" -0.014412968 1 1
"mean" -0.017001147 1 1
"mean" -0.016138088 1 1
"mean" 0.0078251224 1 1
"mean" 0.0065181116 1 1
"mean" -0.018434859 1 1
"mean" -0.019654302 1 1
"mean" -0.0099401064 1 1
"mean" -0.01626097 1 1
"mean" -0.019910142 1 1
"mean" -0.011127209 1 1
"mean" -0.016173432 1 1
"mean" -0.017491016 1 1
"mean" -0.013147584 1 1
"mean" -0.020521383 1 1
"mean" -0.019083242 1 1
"mean" -0.015074404 1 1
"mean" -0.020560964 1 1
"mean" -0.01786855 1 1
"mean" -0.017275722 1 1
"mean" -0.0168191 1 1
"mean" -0.017146303 1 1
"mean" -0.01780317 1 1
"mean" -0.01839626 1 1
"mean" -0.018626474 1 1
"mean" -0.017209548 1 1
"mean" -0.016150309 1 1
"mean" -0.017684054 1 1
"mean" -0.017644953 1 1
"mean" -0.0070373566 1 1
"mean" -0.036452984 1 1
"mean" -0.11935251 1 1
"mean" -0.096904391 1 1
"mean" 0.069408647 1 1
"mean" 0.1036482 1 1
"mean" -0.26812111 1 1
"mean" -0.68409659 1 1
"mean" -0.41386534 1 1
"mean" -0.02714766 1 1
"mean" 0.016430154 1 1
"mean" -0.008888811 1 1
"mean" -0.0075244582 1 1
"mean" -0.010196757 1 1
"mean" -0.037696218 1 1
"mean" -0.064550029 1 1
"mean" 0.0038147234 1 1
"mean" -0.014446221 1 1
"mean" -0.029638413 1 1
"mean" 0.021219063 1 1
"mean" 0.0015817951 1 1
"mean" -0.049547719 1 1
"mean" -0.026367749 1 1
"mean" -0.03548621 1 1
"mean" -0.0085082782 1 1
"mean" -0.01378698 1 1
"mean" -0.040800898 1 1
"mean" 0.0027680377 1 1
"mean" -0.012560935 1 1
"mean" -0.018659683 1 1
"mean" 0.0099387454 1 1
"mean" -0.022255821 1 1
"mean" -0.022003784 1 1
"mean" -0.0085919266 1 1
"mean" -0.027205815 1 1
"mean" -0.02437697 1 1
"mean" -0.027810418 1 1
"mean" -0.015635621 1 1
"mean" 0.0062773455 1 1
"mean" -0.016954505 1 1
"mean" -0.010577401 1 1
"mean" 0.00079445569 1 1
"mean" -0.023300458 1 1
"mean" -0.03050523 1 1
"mean" -0.011424653 1 1
"mean" -0.034585828 1 1
"mean" -0.02723993 1 1
"mean" -0.044653002 1 1
"mean" -0.016175423 1 1
"mean" -0.0021398385 1 1
"mean" -0.0074950152 1 1
"mean" -0.0090379452 1 1
"mean" -0.014656769 1 1
"mean" -0.018079718 1 1
"mean" -0.031464353 1 1
"mean" -0.0097107196 1 1
"mean" 0.01534272 1 1
"mean" -0.019882845 1 1
"mean" -0.03566696 1 1
"mean" -0.023196389 1 1
"mean" -0.017796846 1 1
"mean" 0.017975385 1 1
"mean" -0.0070493914 1 1
"mean" -0.016110289 1 1
"mean" -0.022899292 1 1
"mean" 0.014082123 1 1
"mean" -0.017156211 1 1
"mean" -0.03726758 1 1
"mean" -0.0023073023 1 1
"mean" -0.005968762 1 1
"mean" -0.020202459 1 1
"mean" -0.033624109 1 1
"mean" -0.014570467 1 1
"mean" -0.03373288 1 1
"mean" -0.011902709 1 1
"mean" -0.0075220252 1 1
"mean" -0.0007098312 1 1
"mean" -0.0035526939 1 1
"mean" -0.0065917495 1 1
"mean" 0.021866728 1 1
"mean" -0.05499692 1 1
"mean" -0.050409373 1 1
"mean" 0.02456 1 1
"mean" -0.018319479 1 1
"mean" 0.0016045166 1 1
"mean" -0.0038073578 1 1
"mean" -0.076558729 1 1
"mean" -0.036965677 1 1
"mean" -0.0017592965 1 1
"mean" -0.018714518 1 1
"mean" 0.0021737117 1 1
"mean" 0.0042561454 1 1
"mean" -0.032628002 1 1
"mean" -0.030746091 1 1
"mean" -0.068261729 1 1
"mean" -0.013340312 1 1
"mean" -0.017291 1 1
"mean" -0.019665159 1 1
"mean" -0.030312276 1 1
"mean" -0.023908255 1 1
"mean" -0.028953751 1 1
"mean" -0.03367069 1 1
"mean" -0.0089315038 1 1
"mean" -0.053718943 1 1
"mean" -0.018097161 1 1
"mean" -0.035875128 1 1
"mean" -0.008881052 1 1
"mean" -0.012546631 1 1
"mean" -0.0072225043 1 1
"mean" 0.0077234474 1 1
"mean" -0.021806697 1 1
"mean" -0.05216571 1 1
"mean" -0.035370696 1 1
"mean" -0.010751748 1 1
"mean" -0.0085448131 1 1
"mean" -0.0045132061 1 1
"mean" -0.023659196 1 1
"mean" -0.032762393 1 1
"mean" -0.017091944 1 1
"mean" -0.014947411 1 1
"mean" -0.016105674 1 1
"mean" -0.018606634 1 1
"mean" -0.017290162 1 1
"mean" -0.01531619 1 1
"mean" -0.019975668 1 1
"mean" -0.021795449 1 1
"mean" 0.034225504 1 1
"mean" -0.025134082 1 1
"mean" -0.019735938 1 1
"mean" -0.016755348 1 1
"mean" -0.023361777 1 1
"mean" -0.020102285 1 1
"mean" -0.014508176 1 1
"mean" -0.01543831 1 1
"mean" -0.01565033 1 1
"mean" -0.015040946 1 1
"mean" -0.015505193 1 1
"mean" -0.015808416 1 1
"mean" -0.00028737053 1 1
"mean" -0.035646628 1 1
"mean" -0.011693149 1 1
"mean" -0.017999434 1 1
"mean" -0.018106346 1 1
"mean" -0.013962574 1 1
"mean" -0.01757272 1 1
"mean" -0.018437222 1 1
"mean" -0.016333594 1 1
"mean" -0.017867041 1 1
"mean" -0.015470231 1 1
"mean" -0.023633221 1 1
"mean" -0.024865202 1 1
"mean" -0.016669682 1 1
"mean" -0.017570074 1 1
"mean" -0.01806797 1 1
"mean" -0.017814424 1 1
"mean" -0.01600381 1 1
"mean" -0.017357172 1 1
"mean" -0.018048727 1 1
"mean" -0.016788627 1 1
"mean" -0.016544181 1 1
"mean" -0.017589649 1 1
"mean" 0.018053586 1 1
"mean" -0.019722322 1 1
"mean" -0.0089314391 1 1
"mean" -0.0057626503 1 1
"mean" -0.016123297 1 1
"mean" -0.01332633 1 1
"mean" -0.010254163 1 1
"mean" -0.017143471 1 1
"mean" -0.014115159 1 1
"mean" -0.015873588 1 1
"mean" -0.014249297 1 1
"mean" -0.012264695 1 1
"mean" 0.07922905 1 1
"mean" 0.010297707 1 1
"mean" -0.017985103 1 1
"mean" -0.00692865 1 1
"mean" 0.00081689933 1 1
"mean" -0.018087248 1 1
"mean" -0.022759306 1 1
"mean" -0.018060289 1 1
"mean" -0.027628987 1 1
"mean" -0.042535659 1 1
"mean" -0.022742569 1 1
"mean" -0.02268563 1 1
"mean" 0.0060649186 1 1
"mean" -0.018934595 1 1
