"Statistic" "Stat_Cord" "Sig_ID" "Act_ID"
"mean" -0.13290514 1 1
"mean" -0.12352019 1 1
"mean" -0.11346169 1 1
"mean" -0.12328257 1 1
"mean" -0.11536185 1 1
"mean" -0.10513725 1 1
"mean" -0.11002215 1 1
"mean" -0.12536043 1 1
"mean" -0.12075082 1 1
"mean" -0.10606516 1 1
"mean" -0.10343832 1 1
"mean" -0.10820234 1 1
"mean" -0.11273172 1 1
"mean" -0.10675647 1 1
"mean" -0.061668123 1 1
"mean" -0.12208028 1 1
"mean" -0.11684896 1 1
"mean" -0.10637048 1 1
"mean" -0.10918803 1 1
"mean" -0.11142918 1 1
"mean" -0.10787724 1 1
"mean" -0.10660117 1 1
"mean" -0.11080122 1 1
"mean" -0.10916135 1 1
"mean" -0.10287513 1 1
"mean" -0.10659617 1 1
"mean" -0.10677578 1 1
"mean" 0.062769317 1 1
"mean" -0.14597431 1 1
"mean" -0.10572355 1 1
"mean" -0.12361242 1 1
"mean" 0.025551778 1 1
"mean" 0.016242945 1 1
"mean" -0.15085028 1 1
"mean" -0.11673889 1 1
"mean" -0.10652245 1 1
"mean" -0.11051668 1 1
"mean" -0.10803259 1 1
"mean" -0.12283791 1 1
"mean" -0.10947182 1 1
"mean" -0.11139287 1 1
"mean" -0.10797029 1 1
"mean" -0.10839283 1 1
"mean" -0.11281565 1 1
"mean" -0.1111806 1 1
"mean" -0.10634926 1 1
"mean" -0.10970656 1 1
"mean" -0.10635945 1 1
"mean" -0.10543517 1 1
"mean" -0.11323643 1 1
"mean" -0.10588882 1 1
"mean" -0.11816739 1 1
"mean" -0.096824565 1 1
"mean" -0.10762126 1 1
"mean" -0.10948053 1 1
"mean" -0.10798311 1 1
"mean" -0.10801374 1 1
"mean" -0.10896485 1 1
"mean" -0.10748863 1 1
"mean" -0.10527824 1 1
"mean" -0.10563797 1 1
"mean" -0.10882921 1 1
"mean" -0.1057035 1 1
"mean" -0.10818111 1 1
"mean" -0.028333356 1 1
"mean" -0.10625819 1 1
"mean" 0.13303497 1 1
"mean" 0.14803461 1 1
"mean" -0.20082552 1 1
"mean" -0.24533103 1 1
"mean" 0.17689637 1 1
"mean" 0.34665772 1 1
"mean" 0.017374188 1 1
"mean" -0.1231748 1 1
"mean" -0.10372571 1 1
"mean" -0.10374518 1 1
"mean" -0.10928717 1 1
"mean" -0.11115339 1 1
"mean" -0.1348973 1 1
"mean" -0.095186339 1 1
"mean" -0.12365809 1 1
"mean" -0.16737697 1 1
"mean" -0.14261631 1 1
"mean" -0.048949431 1 1
"mean" -0.043553705 1 1
"mean" -0.11175723 1 1
"mean" -0.13095121 1 1
"mean" -0.080569176 1 1
"mean" -0.11964696 1 1
"mean" -0.18016197 1 1
"mean" -0.13467496 1 1
"mean" -0.038613087 1 1
"mean" -0.058680943 1 1
"mean" -0.11718642 1 1
"mean" -0.123073 1 1
"mean" -0.1491439 1 1
"mean" -0.15005217 1 1
"mean" -0.10297373 1 1
"mean" -0.21230304 1 1
"mean" -0.075076407 1 1
"mean" -0.042982545 1 1
"mean" -0.10258842 1 1
"mean" -0.12518006 1 1
"mean" -0.15477656 1 1
"mean" -0.10544192 1 1
"mean" -0.040695674 1 1
"mean" -0.07970154 1 1
"mean" -0.13709513 1 1
"mean" -0.15619795 1 1
"mean" -0.15926922 1 1
"mean" -0.11750002 1 1
"mean" -0.081513949 1 1
"mean" -0.11188336 1 1
"mean" -0.14034852 1 1
"mean" -0.13173868 1 1
"mean" -0.079095855 1 1
"mean" -0.042613832 1 1
"mean" -0.07234686 1 1
"mean" -0.12726298 1 1
"mean" -0.12197022 1 1
"mean" -0.11667518 1 1
"mean" -0.16044667 1 1
"mean" -0.18182373 1 1
"mean" -0.11255181 1 1
"mean" -0.039347036 1 1
"mean" -0.084159118 1 1
"mean" -0.093681451 1 1
"mean" -0.14009252 1 1
"mean" -0.12725614 1 1
"mean" -0.082310404 1 1
"mean" -0.13877347 1 1
"mean" -0.10002093 1 1
"mean" -0.063727153 1 1
"mean" -0.1095915 1 1
"mean" -0.011024206 1 1
"mean" -0.1412542 1 1
"mean" -0.20841776 1 1
"mean" -0.13334869 1 1
"mean" -0.15116909 1 1
"mean" -0.055801013 1 1
"mean" -0.0086999005 1 1
"mean" -0.18104462 1 1
"mean" -0.082909932 1 1
"mean" -0.1494262 1 1
"mean" -0.13178649 1 1
"mean" -0.043028643 1 1
"mean" -0.15095947 1 1
"mean" -0.16901282 1 1
